ORF,name,source,LTH (3-AT),bGAL (+/- SEM)
YAL014C,YAL014C,Ito,>200,0.8685+/-0.0990
YAL040C,CLN3,Ito,50,-0.029+/-0.0399
YAR003W,YAR003W,Ito,100,0.1138+/-0.1060
YAR014C,YAR014C,Ito & Uetz,50,NA
YAR042W,SWH1,Ito,25,-0.073+/-0.0191
YAR061W,YAR062W,Ito,50,0.2152+/-0.0601
YBL007C,SLA1,Ito,>200,0.8809+/-0.0605
YBL010C,YBL010C,Ito,100,NA
YBL046W,YBL046W,Ito,10,NA
YBL051C,YBL051C,Ito,100,0.4275+/-0.1067
YBL056W,PTC3,Ito,3,NA
YBL079W,NUP170,Ito,100,0.2055+/-0.0769
YBL081W,YBL081W,Ito,>200,0.8972+/-0.0431
YBL093C,ROX3,Ito,>200,0.5879+/-0.0490
YBL097W,BRN1,Ito,10,NA
YBR028C,,Uetz,10,NA
YBR030W,YBR030W,Ito,100,0.5805+/-0.1252
YBR058C,UBP14,Ito,50,0.6862+/-0.0742
YBR061C,YBR061C,Ito,200,NA
YBR072W,HSP26,Ito,50,0.6162+/-0.1196
YBR098W ,YBR098W ,Ito  ,100,0.0312+/-0.0478
YBR125C,,Uetz,3,NA
YBR138C,YBR138C,Ito,100,0.5158+/-0.0970
YBR193C,MED8,Ito,>200,0.8372+/-0.1316
YBR212W,NGR1,Ito,100,NA
YBR239C,,Uetz,3,NA
YBR240C,THI2,Ito,50,NA
YBR250W,,Uetz,3,NA
YBR271W,YBR271W,Ito,200,0.7195+/-0.1125
YBR284W,YBR284W,Ito,50,-0.000+/-0.0249
YBR289W,SNF5,Ito,100,NA
YCL017C,NFS1,Ito,50,-0.137+/-0.0089
YCL032W,,Uetz,3,NA
YCR065W,HCM1,Ito,100,0.1958+/-0.0279
YCR077C,PAT1,Ito,>200,0.5859+/-0.0760
YCR082W,YCR082W,Ito,200,0.5496+/-0.0552
YDL017W,CDC7,Ito,100,0.2612+/-0.0748
YDL020C,RPN4,Ito,25,NA
YDL028C,,Uetz,3,NA
YDL065C,PEX19,Ito,200,0.1532+/-0.0317
YDL081C,RPP1A,Ito,200,0.1932+/-0.0225
YDL088C,ASM4,Ito,>200,0.0355+/-0.0473
YDL130W,RPP1B,Ito,100,0.1822+/-0.0318
YDL134C,PPH21,Ito & Uetz,100,0.1252+/-0.0366
YDL154W,MSH5,Ito,100,-0.080+/-0.0233
YDL161W,YDL161w,Ito,>200,0.7565+/-0.1249
YDL165W,CDC36,Ito,50,0.3929+/-0.1141
YDL188C,PPH22,Ito,25,-0.003+/-0.0198
YDL215C,GDH2,Ito,3,NA
YDL223C,,Uetz,3,NA
YDR016C,YDR016c,Ito,100,NA
YDR022C,CIS1,Ito,100,0.0735+/-0.0341
YDR031W,YDR031w,Ito,200,0.4646+/-0.0889
YDR045C,YDR045C,Ito,10,0.0372+/-0.0526
YDR073W,SNF11,Ito,100,0.3912+/-0.0466
YDR081C,PDC2,Ito,>200,0.0566+/-0.0424
YDR082W,STN1,Ito,50,0.3036+/-0.0682
YDR098C,YDR098C,Ito,3,0.0172+/-0.0266
YDR103W,STE5,Ito,200,NA
YDR111C,,Uetz,3,NA
YDR118W,APC4,Ito,>200,0.2609+/-0.0465
YDR132C,,Uetz,10,NA
YDR146C,SWI5,Ito,>200,0.5196+/-0.1306
YDR165W,,Uetz,3,NA
YDR184C,ATC1,Ito,>200,0.5882+/-0.0313
YDR189W,,Uetz,3,NA
YDR210W,YDR210W,Ito,100,NA
YDR213W,YDR213W,Ito,>200,0.5049+/-0.1203
YDR216W,ADR1,Ito,>200,0.4752+/-0.2174
YDR221W,YDR221W,Ito,3,NA
YDR223W,YDR223W,Ito,>200,0.5482+/-0.0435
YDR253C,MET32,Ito,50,0.3632+/-0.0988
YDR260C,YDR260C,Ito,200,-0.010+/-0.0371
YDR273W,YDR273W,Ito,100,0.5725+/-0.0730
YDR291W,YDR291W,Ito,>200,0.0675+/-0.0683
YDR299W,BFR2,Ito,>200,0.5766+/-0.0529
YDR308C,SRB7,Ito,25,0.0699+/-0.0375
YDR320C,YDR320C,Ito,>200,0.8629+/-0.0902
YDR328C,SKP1,Ito,3,0.0399+/-0.0280
YDR330W,YDR330W,Ito,200,0.2609+/-0.0773
YDR373W,,Uetz,3,NA
YDR392W,SPT3,Ito,50,0.2372+/-0.1230
YDR423C,CAD1,Ito,100,0.0096+/-0.0185
YDR443C,SSN2,Ito,>200,0.7916+/-0.0357
YDR464W,SPP41,Ito,3,0.1369+/-0.0537
YDR489W,YDR489W,Ito,>200,NA
YDR520C,YDR520C,Ito,>200,0.8299+/-0.0179
YDR532C,YDR532C,Ito,100,0.2726+/-0.0802
YEL053C,MAK10,Ito,3,NA
YER008C,SEC3,Ito,50,0.0352+/-0.0300
YER021W,RPN3,Ito,50,0.3698+/-0.2191
YER027C,GAL83,Ito,100,0.0962+/-0.0576
YER033C,YER033c,Ito,100,NA
YER040W,GLN3,Ito,>200,NA
YER045C,YER045c,Ito,>200,0.9192+/-0.0479
YER051W,,Uetz,200,NA
YER059W,PCL6,Ito,200,0.0992+/-0.1759
YER089C,,Uetz,3,NA
YER096W,YER096w,Ito,100,0.4195+/-0.0440
YER111C,SWI4,Ito,100,0.2982+/-0.1524
YER118C,YER118c,Ito,100,0.7692+/-0.0578
YER122C,,Uetz,3,NA
YER125W,RSP5,Ito,>200,0.9515+/-0.0602
YER130C,YER130c,Ito,10,NA
YER149C,PEA2,Ito,25,NA
YER151C,UBP3,Ito,>200,0.8425+/-0.0947
YER167W,BCK2,Ito,>200,0.6002+/-0.2382
YFL029C,CAK1,Ito,200,0.5335+/-0.0385
YFL033C,RIM15,Ito,>200,0.4306+/-0.0764
YFL049W,YFL049W,Ito,100,0.6852+/-0.1114
YFR033C,QCR6,Ito,25,0.0139+/-0.0445
YFR034C,PHO4,Ito,200,0.5952+/-0.0681
YFR043C,YFR043C,Ito,100,-0.101+/-0.0157
YGL003C,CDH1,Ito,100,NA
YGL015C,YGL015C,Ito,100,0.0675+/-0.0458
YGL019W,CKB1,Ito,50,0.2105+/-0.1388
YGL036W,YGL036W,Ito,>200,0.5912+/-0.1001
YGL043W,DST1,Ito,100,0.1785+/-0.1442
YGL066W,YGL066W,Ito & Uetz,27,0.7785+/-0.1077
YGL070C,RPB9,Ito,100,0.0272+/-0.0506
YGL073W,HSF1,Ito,>200,NA
YGL079W,YGL079W,Ito,200,0.2138+/-0.0565
YGL127C,SOH1,Ito,50,0.0412+/-0.0288
YGL134W,PCL10,Ito,25,-0.054+/-0.0140
YGL154C,LYS5,Ito,10,0.3445+/-0.1086
YGL166W,CUP2,Ito,>200,0.8069+/-0.1406
YGL170C,YGL170C,Ito,100,0.2252+/-0.1502
YGL172W,NUP49,Ito,100,0.5799+/-0.0877
YGL181W,,Uetz,3,NA
YGL223C,YGL223C,Ito,200,NA
YGL229C,SAP4,Ito,100,NA
YGR052W,,Uetz,3,NA
YGR269W,YGR269W,Ito,25,NA
YGR256W,,Uetz,3,NA
YGR253C,PUP2,Ito,200,0.1598+/-0.0615
YGR251W,,Ito,50,NA
YGR241C ,YGR251W,Ito,>200,0.2015+/-0.0863
YGR188C ,YAP1802,Uetz,3,NA
YGR160W,,Uetz,25,NA
YGR130C,YGR130C,Ito,>200,0.4559+/-0.0909
YGR120C,YGR120C,Ito,>200,NA
YGR077C,PEX8,Ito,25,0.0188+/-0.0190
YGR288W,YGR288W,Ito,25,NA
YHL012W,YHL012W,Ito,200,NA
YHL018W,YHL018W,Ito,3,NA
YHR030C,SLT2,Ito,100,0.5042+/-0.0686
YHR056C,YHR056C,Ito,25,NA
YHR086W,NAM8,Ito,3,NA
YHR124W,NDT80,Ito,3,0.0272+/-0.0281
YHR135C,,Uetz,3,NA
YHR149C,YHR149C,Ito,10,NA
YHR160C,YHR160C,Ito,>200,1.0002+/-0.0941
YHR167W,,Uetz,3,NA
YHR170W,NMD3,Ito,3,NA
YHR183W,,Uetz,10,NA
YHR184W,SSP1,Ito,25,NA
YHR185C,YHR185C,Ito,25,NA
YHR187W,IKI1,Ito,200,0.8495+/-0.0858
YHR205W,SCH9,Ito,200,0.1552+/-0.0475
YIL007C,,Uetz,50,NA
YIL019W,YIL019W,Ito,200,0.2692+/-0.0706
YIL021W,RPB3,Ito,>200,0.6482+/-0.0357
YIL034C,CAP2,Ito,100,0.2682+/-0.0399
YIL036W,YIL036W,Ito,100,0.2162+/-0.0778
YIL062C,ARC15,Ito,100,-0.047+/-0.0183
YIL079C,YIL079C,Ito,>200,0.9892+/-0.0207
YIL093C,YIL093C,Ito,3,-0.042+/-0.0378
YIL119C,RPI1,Ito,>200,0.9349+/-0.0426
YIL123W,SIM1,Ito,3,NA
YIL135C,YIL135C,Ito,3,NA
YIR010W,YIR010W,Ito,100,0.0122+/-0.0233
YIR025W,YIR025W,Ito,3,-0.092+/-0.0238
YJL029C,YJL029C,Ito,>200,NA
YJL058C,YJL058C,Ito,50,0.0046+/-0.0229
YJL069C ,YJL069C ,Ito ,100,-0.019+/-0.0421
YJL084C,YJL084C,Ito,50,NA
YJL098W,YJL098W,Ito,10,NA
YJL100W,,Uetz,100,NA
YJL103C,YJL103C,Ito,50,-0.056+/-0.0198
YJL106W,IME2,Ito,10,NA
YJL116C,NCA3,Ito,200,0.6629+/-0.1065
YJL126W,,Uetz,3,NA
YJL127C,SPT10,Ito,25,-0.076+/-0.0166
YJL146W,IDS2,Ito,>200,0.2022+/-0.1395
YJL147C,YJL147C,Ito,3,NA
YJL176C,SWI3,Ito,200,0.0189+/-0.0175
YJL181W,YJL181W,Ito,>200,0.1689+/-0.0668
YJL185C,YJL185C,Ito,50,0.0228+/-0.0163
YJL187C,SWE1,Ito,25,0.0969+/-0.0519
YJL204C,,Uetz,3,NA
YJL218W,YJL218W,Ito,100,NA
YJR002W,MPP10,Ito,25,-0.006+/-0.0353
YJR056C,,Uetz,3,NA
YJR063W,RPA12,Ito,200,-0.011+/-0.0032
YJR067C,YAE1,Ito,3,NA
YJR070C,YJR070C,Ito & Uetz,102,NA
YJR082C,YJR082C,Ito,3,0.0038+/-0.0197
YJR093C,FIP1,Ito,100,-0.134+/-0.0214
YJR094C,IME1,Ito,200,NA
YJR112W,NNF1,Ito,10,NA
YJR119C,YJR119C,Ito,200,0.2019+/-0.1009
YJR125C,YJR125C,Ito,3,NA
YJR141W,,Uetz,10,NA
YKL002W,YKL002W,Ito,100,NA
YKL015W,PUT3,Ito,200,0.3072+/-0.0846
YKL025C,PAN3,Ito,100,0.2319+/-0.0485
YKL048C,,Uetz,10,NA
YKL059C,YKL059C,Ito,200,0.1292+/-0.0985
YKL061W,YKL061W,Ito,100,0.3545+/-0.1920
YKL062W,MSN4,Ito,100,0.7522+/-0.0354
YKL068W,NUP100,Ito,200,0.3679+/-0.0517
YKL093W,MBR1,Ito,200,-0.132+/-0.0142
YKL109W,HAP4,Ito,200,0.6056+/-0.0597
YKL135C,APL2,Ito,>200,0.1112+/-0.0662
YKL143W,LTV1,Ito,200,0.5272+/-0.0376
YKL161C,YKL161C,Ito,3,0.0465+/-0.0765
YKL165C,MCD4,Ito,>200,0.3156+/-0.0892
YKL171W,YKL171W,Ito,200,NA
YKL173W,SNU114,Ito,100,0.1232+/-0.0124
YKL190W,,Uetz,25,NA
YKR017C,YKR017C,Ito,50,0.0619+/-0.0165
YKR021W,YKR021W,Ito,50,0.3116+/-0.0905
YKR022C,,Uetz,100,NA
YKR027W,YKR027W,Ito,50,0.2616+/-0.0432
YKR048C,NAP1,Ito,200,0.6022+/-0.0544
YKR060W,YKR060W,Ito,>200,NA
YKR064W,YKR064W,Ito,200,-0.024+/-0.0423
YKR077W,YKR077W,Ito,>200,0.9899+/-0.0390
YLL013C,YLL013C,Ito,>200,0.7076+/-0.0934
YLR016C,,Uetz,50,NA
YLR019W,YLR019W,Ito,100,NA
